127.0.0.1 - - [28/Jul/2022:10:41:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:18 +0530] "GET /crud-mvc/ HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:19 +0530] "GET /crud-mvc/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:22 +0530] "GET /crud-mvc/userInfo.html HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:22 +0530] "GET /crud-mvc/users HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:24 +0530] "GET /crud-mvc/editUser.html?id=29 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:24 +0530] "GET /crud-mvc/users?id=29 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:49 +0530] "GET /crud-mvc/editUser.html?id=29 HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:41:49 +0530] "GET /crud-mvc/users?id=29 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:42:12 +0530] "GET /crud-mvc/editUser.html?id=29 HTTP/1.1" 200 2837
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:42:12 +0530] "GET /crud-mvc/users?id=29 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:42:37 +0530] "GET /crud-mvc/editUser.html?id=29 HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:42:37 +0530] "GET /crud-mvc/users?id=29 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:42:56 +0530] "GET /crud-mvc/editUser.html?id=28 HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:42:56 +0530] "GET /crud-mvc/users?id=28 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:43:00 +0530] "POST /crud-mvc/edit?id=%22+id+%22 HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:48:46 +0530] "GET /crud-mvc/css/bootstrap.css.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [28/Jul/2022:10:48:49 +0530] "POST /crud-mvc/edit?id=%22+id+%22 HTTP/1.1" 404 768
